특징,밴드,정규화,모델,학습 정확도 (Trial),학습 정확도 (Epoch),테스트 정확도 (Trial),테스트 정확도 (Epoch)
F_peak_3d_1area,alpha,None,Logistic Regression,0.5667,0.5487,0.58,0.5643
F_peak_3d_1area,all,None,Logistic Regression,0.6067,0.5938,0.59,0.5643
F_de_3d_10rm,theta,None,Logistic Regression,0.7467,0.6336,0.63,0.5643
F_de_3d_Fz,beta,None,Ensemble (Majority Vote),0.78,0.6621,0.56,0.5643
F_peak_3d_8rm,all,norm3,Logistic Regression,0.9733,0.8014,0.56,0.5643
F_median_3d_Fz,beta,None,Logistic Regression,0.5467,0.5184,0.56,0.5643
F_peak_3d_3area,delta,None,KNN,0.9733,0.7575,0.61,0.5643
F_peak_3d_F4,alpha,None,Logistic Regression,0.5733,0.5485,0.59,0.5629
F_de_3d_10rm,beta,None,Logistic Regression,0.7467,0.6497,0.58,0.5629
F_dasm_3d19,theta,norm3,XGBoost,0.9667,0.7655,0.61,0.5629
F_rasm_3d_10rm,theta,norm3,XGBoost,0.9267,0.7446,0.68,0.5629
F_peak_3d_1area,alpha,None,Linear SVM,0.5667,0.5485,0.57,0.5629
F_peak_3d_8rm,all,norm3,Ensemble (Majority Vote),0.9867,0.9186,0.58,0.5629
F_de_3d_F3,all,norm3,Logistic Regression,0.6533,0.5805,0.58,0.5629
F_de_3d_F3,beta,None,XGBoost,0.6267,0.5899,0.56,0.5629
F_peak_3d_C4,theta,None,Linear SVM,0.5667,0.5285,0.59,0.5629
F_median_3d_Fz,all,None,Logistic Regression,0.6067,0.5713,0.6,0.5629
F_de_3d_8rm,theta,None,Ensemble (Majority Vote),0.8467,0.7044,0.62,0.5629
F_de_3d_3area,theta,None,Logistic Regression,0.5867,0.5752,0.57,0.5629
F_median_3d_Fp1,alpha,None,Logistic Regression,0.54,0.5303,0.58,0.5629
F_de_3d_Fp2,beta,None,Random Forest,0.7,0.612,0.63,0.5629
F_peak_3d_C4,theta,None,Logistic Regression,0.5667,0.5292,0.59,0.5629
F_dasm_3d,delta,None,Ensemble (Majority Vote),0.8133,0.7048,0.63,0.5614
F_peak_3d_F8,all,norm3,XGBoost,0.8667,0.6979,0.61,0.5614
F_median_3d_F7,gamma,None,Random Forest,0.7467,0.5979,0.61,0.5614
F_dasm_3d19,gamma,None,Logistic Regression,0.6933,0.6239,0.56,0.5614
F_de_3d_8rm,beta,None,KNN,1.0,0.8294,0.61,0.5614
F_dasm_3d_10rm,delta,None,Logistic Regression,0.6067,0.577,0.59,0.5614
